"구급차 막아선 택시기사 ""사고 수습하라""… ""환자 사망"" 국민청원","     <저작권자 ⓒ '성공을 꿈꾸는 사람들의 경제 뉴스'  , 무단전재 및 재배포 금지>"
"윤화섭 시장, 조두순 출소 관련 ""정부 차원에서 단호한 대책 마련"" 요구","안산=     <저작권자 ⓒ '성공을 꿈꾸는 사람들의 경제 뉴스'  , 무단전재 및 재배포 금지>"
"300년 전 노예처럼 밧줄로 끌려간 흑인, 11억원 소송 제기","17세기 노예시대를 방불케 한 흑인 모욕 사건의 피해자가 관공서와 시 당국을 상대로 100만달러의 손해배상 소송을 제기했다.	 그는 말을 탄 두 명의 백인경찰관에 의해 밧줄로 끌려가는 와중 느낀 공포와 모욕감을 이유로 들었다.	  도널드 닐리란 이 흑인은 지난 주 갤버스턴 카운티 법원에 소송을 제기하면서 그 경찰관들의 행동이 ""극단적이고 말도 안되게 과도한 것""이었다면서 자신에게 신체적인 손상 뿐 아니라 정서적인 깊은 상처를 주었다고 주장한 것으로 법원 소장에 드러났다.	 이 내용은 인터넷 뉴스매체를 타고 널리 알려졌다.	 2019년 8월의 문제의 사진들은 닐리가 수갑에 연결된 밧줄에 이끌려 경찰관에게 끌려가는 모습을 보여주고 있다.	 그 모습은 옛 노예시대에 흑인 노예들을 쇠사슬에 묶어 끌고 가던 광경의 완벽한 축소판이었다.	 당시에 노숙자였던 닐리는 길가 보도위에서 잠을 자다가 금지지역 침입죄로 체포되어 기마경찰대가 주둔해 있는 한 구역 떨어진 곳으로 끌려갔다.	 경찰 바디 카메라 검사결과 경찰관 중 한 명은 두 번이나 ""닐리를 밧줄로 끌고 시내를 들어가는 것은 모양이 나쁘다""고 말한 것으로 드러났다.	 법원에 제출된 소장은 시 당국과 경찰의 업무 태만, 경찰이 닐리가 밧줄로 끌려가는 것을 기분나빠하고 ""마치 노예같은 기분""을 느낄 거라고 생각하지 못한 점 등을 지적하고 있다.	 ""닐리는 마치 옛날처럼 노예가 되어 전시되고 있는 기분을 느꼈다""고 소장에는 쓰여있다.	 사건 당시 버논 헤일 경찰서장은 경찰관들의 행동을 "" 숙련된 기술이며 어떤 시나리오에는 최적의 체포술""이라고 칭찬한 것으로 되어있다.	 하지만 이 번에 그는 부하들이 "" 미숙한 판단력을 발휘했다""면서 경찰이 이후로는 그런 기술을 사용하지 말도록 규정을 바꿨다고 말했다.	 텍사스 레인저스 경찰 조사관은 문제의 두 경찰관이 위법 행동을 한 건 아니라고 판단했다.	 닐리의 무단침입죄는 당시 법정에서 기각되었다.	 그의 고소는 그 죄목에 대해 악의적인 기소라고 항의하는 내용도 담고 있다.	 시 공무원들은 이 소송사건에 대해 언론에 언급을 거부하고 있다.	 이 고소사건의 첫 공판은 1월에 열린다."
“음란마귀 빼야돼”… 18년 아동 성 착취 목사 입건,"무려 18년 동안 교회에 감금돼 목사로부터 학대 및 노동착취를 받아왔던 20대 3명이 고소장을 접수해 경찰이 수사에 나섰다.22일 경찰에 따르면 경기 안산시 소재의 한 교회 신도 자녀인 피해자들은 A 목사가 “‘음란마귀를 빼야한다’며 성폭행했고 관련 동영상도 촬영했다”고 주장했다.	피해자 측 법률대리인 부지석 변호사는 지난 21일 MBC 라디오 ‘표창원의 뉴스하이킥’에서 “아이들을 심리적으로 지배한 뒤 교회에 감금한 그루밍 범죄”라며 경제사정이 어려운 부모들에게 접근해 '교회에서 아이들 교육을 시켜주겠다'고 회유하는 등의 방식으로 전도했다고 밝혔다.	 피해자들은 7·8세 때부터 교회에 갇혀 하루에 4시간밖에 자지 못한 채 집안일과 함께 마스크 접기, 볼펜 조립 등 부업까지 병행한 것으로 알려졌다.	부 변호사는 치아가 없는 목사가 “너희들도 같은 고통을 당해야 한다”며 피해자들의 치아를 강제로 다 뽑거나 본인의 가래와 양칫물을 마시도록 한 학대 사실도 추가로 밝혔다.	이어 “병원을 가지 못하게 해 평생 불구로 사는 사람도 있다”며 “응급한 상황이라 응급실에 가게 됐지만 목사가 산소호흡기를 떼게 해 사망한 사례도 있다고 한다”고 덧붙였다.	부 변호사는 아동복지전문기관도 피해자들에게 도움이 되지 못했다고 밝혔다.	 그는 “교회를 탈출한 피해자들이 아동복지전문기관에 찾아가 신고를 했지만 오히려 아동복지기관에서 교회를 찾아와 정신지체아동을 보호하고 있다며 칭찬을 하고 돌아갔다”고 설명했다.	 이어 “그 후로 피해자들이 고소·고발할 수 없는 처지가 됐다”고 강조했다.	경찰은 A 목사를 아동·청소년 성 보호에 관한 법률 위반 혐의 등으로 입건하고 A 목사 사택과 교회에 대한 압수수색을 벌였다."
"""운동선수는 원래 그래""… 스포츠계 폭력문화, 이대로 안된다","     <저작권자 ⓒ '성공을 꿈꾸는 사람들의 경제 뉴스'  , 무단전재 및 재배포 금지>"
"[퇴근길] 서울역 묻지마 폭행, 피해자 가족이 지적한 것은?","서울역 묻지마 폭행이 많은 국민들을 안타깝게 했다.1일 국토부 산하 철도특별사법경찰대는 지난달 26일 오후 1시50분쯤 공항철도 서울역의 한 아이스크림 전문점 앞에서 신원을 알수 없는 남성이 30대 여성 A씨를 폭행했다는 신고 내용에 대해 조사를 진행하고 있다고 밝혔다.	이 사건은 피해를 당한 A씨의 가족이 소식을 소셜네트워크서비스에 올리면서 알려졌다.	현재 이글은 '서울역묻지마폭행' 이라는 해시태그를 달고 온라인상에서 광범위하게 퍼지고 있다.	A씨 가족들에 따르면 30대 초중반으로 보이는 남성은 A씨를 아무런 이유 없이 폭행했다.	 A씨는 눈가가 찢어지고 광대뼈가 골절되는 부상을 입었다.	가족들은 사건이 일어난 장소가 폐쇄회로TV 사각지대라 증거 영상을 확보하지 못한 상황이라며 경찰로부터 가해자가 지하철역에서 카드 사용 내역도 남기지 않아 수사가 어려울 것 같다는 이야기를 들었다고 전했다.	 다중이 이용하는 공중시설인 서울역에 사각지대가 있었음에도 개선하지 못한 책임이 서울역과 철도경찰대에 있다고 지적했다.	철도경찰대는 ""이번 사건에 대해 조사를 진행 중이지만 자세한 수사상황을 확인해줄 수 없다""고 말했다."
"잘 나가던 HMM, 선원 400명 파업 조짐 ""빨간불""","     <저작권자 ⓒ '성공을 꿈꾸는 사람들의 경제 뉴스'  , 무단전재 및 재배포 금지>"
"[일문일답] ""9억원 이상 주택 불법거래, 연내 조치""",전국의 9억원 이상 고가주택 가운데 불법 행위가 드러난 거래에 대해 연내 관련 조치가 내려진다.	 빠르면 연내 부동산시장의 각종 불법행위를 근절키 위한 감독기구가 신설된다.
"모아저축은행, 보이스피싱 사고 막아 경찰 표창","모아저축은행은 보이스피싱 사고를 예방했다는 공로를 인정받아 일산서부경찰서로부터 감사장을 받았다고 3일 밝혔다.	앞서 보이스피싱 조직은 지난 10월 15일 20대 남성인 A 고객에게 전화해 돈거래 세탁, 금융거래정보법 위반 등을 이야기하며 통장도 준비하지 않은 채 중도해지와 전액 현금 인출을 요구했다.	모아저축은행 일산지점에 있던 이윤정 주임은 고객이 금융사기 예방 진단표 작성과정에서 불안해하며 어디론가 계속 통화가 이어진 점을 수상하다고 판단했다.	 이어 이 주임은 고객 확인 항목이 변경돼 체크된 점을 발견하고 통장 분실로 시간이 소요된다는 기지를 발휘해 담당지구대에 이 사실을 알렸다.	김성도 모아저축은행 대표이사는 “팬데믹 코로나19 상황을 악용한 보이스피싱 등 다양한 연령층에 피해가 발생하고 있다”며 “앞으로 고객의 소중한 자산을 지켜내기 위해 최선을 다하겠다”고 말했다.	한편 모아저축은행은 최근 5년 동안 15건, 4억2000만원 규모에 달하는 보이스피싱 사고를 예방해 담당 경찰서 임직원 감사장 12차례 수상, 2016년과 2019년 인천지방경찰청 보이스피싱 사고 예방 우수기관으로 지정된 바 있다."
[머니S포토] 민갑룡 경찰청장의 업무보고,"    <저작권자 ⓒ '성공을 꿈꾸는 사람들의 경제 뉴스'  , 무단전재 및 재배포 금지>"
[머니S포토] 고개 숙이고 국무회의 참석한 이용구 차관,"     <저작권자 ⓒ '성공을 꿈꾸는 사람들의 경제 뉴스'  , 무단전재 및 재배포 금지>"
"""라면형제"" 여전히 위중… 엄마는 왜 전날부터 집 비웠나","     <저작권자 ⓒ '성공을 꿈꾸는 사람들의 경제 뉴스'  , 무단전재 및 재배포 금지>"
평택시 3번째 코로나19 확진자 발생,"평택=      <저작권자 ⓒ '성공을 꿈꾸는 사람들의 경제 뉴스'  , 무단전재 및 재배포 금지>"
"술 취해 ""벤츠""로 신호등 향해 돌진… 이천서 연쇄추돌",경기도 이천시에서 벤츠 자동차가 연쇄추돌 사고를 내서 4명이 다치는 사고가 발생했다.	 벤츠 자동차 탑승자는 만취 상태인 것으로 경찰 조사 결과 밝혀졌다.	 17일 경기 이천경찰서에 따르면 16일 밤 11시25분쯤 벤츠를 몰던 A씨가 만취한 채 3번국도 편도 2차선 직선도로를 달리던 중 도로 가장자리에 있는 신호등을 들이받았다.	 이후 뒤따라 달리던 4.5톤트럭이 이를 피하지 못하고 A씨 차량 뒷부분을 충격했다.	 이어 4.5톤트럭 뒤에서 주행하던 2.5톤트럭은 앞서 발생한 추돌사고를 피하려고 1차선으로 급히 운전대를 꺾었지만 전복됐다.	 이 사고로 A씨를 포함해 4명의 운전자가 병원치료를 받았다.	 사고 당시 A씨의 혈중알코올농도는 0.16%로 면허 취소에 해당하는 상태였다.	 경찰은 현재 정확한 사고경위를 조사하고 있다.
"[머니S포토] 김창룡 경찰청장, 2019 회계연도 결산 국회 행안위 출석","     <저작권자 ⓒ '성공을 꿈꾸는 사람들의 경제 뉴스'  , 무단전재 및 재배포 금지>"
"이태원 방문한 대구 의경, 자택 대기… 클럽 갔나?","대구 지역 경찰서 소속 의경이 신종 코로나바이러스 감염증 집단감염이 발생한 서울 용산구 이태원동 일대를 방문해 자택에서 대기 중이다.12일 대구 중부경찰서 등에 따르면 중부경찰서 소속 A의경은 지난달 24일부터 이달 6일 사이 휴가를 이용해 이태원 일대를 찾았다.	A의경은 집단감염이 발생한 킹클럽 등 일대 클럽이나 주점에는 들르지 않은 것으로 파악됐다.	중부경찰서는 최근 이태원 클럽에서 코로나19 집단감염이 발생한 후 의경들을 상대로 이태원 일대 방문 여부를 조사했다.	A의경은 의료기관에서 코로나19 감염 여부를 검사받았으며 결과는 내일 중 나올 것으로 예상된다.	경찰 관계자는 ""코로나19 확산 예방 차원에서 A의경을 자택에 대기하도록 했다""며 ""정확한 동선은 알려줄 수 없다""고 전했다."
"[특징주] 남양유업, 장 초반 상승세… 0.7%↑",남양유업 주가가 장 초반 상승세다.	 5일 오전 10시30분 현재 남양유업은 전일대비 0.71% 오른 28만4000원에 거래되고 있다.	남양유업 주가는 지난해 10월20일 25만5500원으로 52주 최저가를 찍은 후 지난달 11일 29만6500원으로 최고가를 기록했다.	 이후 서서히 하락세다.	 한편 남양유업 창업주 외손녀 황하나씨는 집행유예 기간 중 다시 마약을 투약한 혐의로 경찰 수사를 받고 있는 것으로 나타났다.
특정후보 홍보 유인물 살포… 나주시선관위 조사 착수,"나주=     <저작권자 ⓒ '성공을 꿈꾸는 사람들의 경제 뉴스'  , 무단전재 및 재배포 금지>"
강남 클럽서 유학생이 ‘약물’ 먹여 미국 여성 성추행,해외 유명대학을 다니는 20대가 서울 강남의 한 클럽에서 외국인 여성을 성추행한 혐의로 경찰의 수사를 받고 있다.12일 서울 강남경찰서에 따르면 20대 유학생 남성 A씨를 준강제추행 혐의로 수사 중이다.	A씨는 지난달 13일 서울 강남의 한 클럽을 찾아 유흥을 즐기다가 미국인 여성을 강제 추행한 혐의로 수사를 받아왔다.	 당시는 신종 코로나바이러스 감염증 확산세에 따른 클럽 등 고위험시설에 대한 영업중단 조치를 내리기 전이다.	 피해 여성은 A씨가 물에 약물을 넣어서 마시게 했고 이 물을 마신 뒤 자신은 정신을 잃고 쓰러졌다고 경찰에 진술한 것으로 전해진다.	경찰은 당일 클럽 폐쇄회로TV 영상 등을 확보해 A씨를 특정했고 고소인과 피고소인 조사도 마친 상태다.	 현재 A씨에 대해서는 출국 금지도 명령도 내려졌다.	경찰은 “국립과학수사연구원에 보내놓은 검사 결과를 회신하는 대로 수사를 마치고 검찰로 넘길 계획”이라고 설명했다.
"CNN 앵커의 반문… ""대체 어떤 시위대가 예의 바르고 평화로운가""","유명 정치인의 동생으로 유명한 크리스 쿠오모 미국 'CNN' 앵커가 자국 내 인종차별 반대 시위에 대해 비폭력적일 필요가 없다는 발언을 해 논란을 빚었다.	쿠오모 앵커는 2일 저녁 뉴스 도중 ""너무 많은 사람들이 시위를 문제로만 바라본다""라며 ""진짜 문제는 이들을 거리로 나가게 만든 지속적이고 지독한 불평등""이라고 지적했다.	그는 ""대체 어떤 시위대가 예의 바르고 평화로운가""라고 반문하며 ""지금은 평온해야 할 때가 아니다.	 경찰이야말로 평화롭고 절제되고 침착해야 할 사람들""이라고 말했다.	 이는 미국 내 인종차별 반대 시위를 적극적으로 지지한 소신 발언처럼 보인다.	 미국에서는 지난달 25일 흑인 남성 조지 플로이드가 경찰에 의해 목이 눌려 사망하면서 인종 차별 반대 시위가 날로 거세졌다.	 일주일의 시간 동안 미국 내 140개 지역에서 시위가 발생했고 여러 유명 인사들이 지지 의사를 공개적으로 밝혔다.	하지만 일부 지역에서는 시위대를 자칭하는 시민들이 상점을 털고 방화를 하는 등 폭력 행위가 나타나기도 했다.	 이 때문에 지역 상점 주인들은 약탈을 하지 말아줄 것을 호소하기까지 했다.	 연방정부와 지역 당국은 주 방위군을 투입하고 야간 통행금지령을 발령하며 맞섰다.	이런 일련의 폭력 행위로 인해 쿠오모 앵커의 발언은 보수 성향 언론인들의 반발을 불러왔다.	 '워싱턴 이그재미너'의 한 기자는 ""시위대가 예의를 갖추지 않는 것은 상관없다.	 하지만 법은 그들이 평화로운 질서를 유지할 것을 명시한다""라고 밝혔다.	 '내셔널 리뷰'도 ""옛 전통에서 '시위대는 대부분 평화롭다'고 했다.	 요즘은 '누가 평화적인 시위를 하는가'라고 묻는다""라고 조롱했다.	쿠오모 앵커는 뉴욕 주지사인 앤드루 쿠오모의 동생으로 유명하다.	 이들 형제는 신종 코로나바이러스 감염증 사태 동안 생방송에서 서로의 안부를 묻고 '어머니가 찾는다'는 등의 유쾌한 발언을 해 화제를 모으기도 했다."
"독일 하나우 총격 용의자, 숨진 채 발견… 살해 경위 미궁 속으로",독일 프랑크푸르트 인근 도시인 하나우에서 무차별 총격을 가해 8명을 숨지게 한 용의자가 자택에서 숨진 채 발견됐다.20일 AFP통신은 용의자가 자택에서 다른 한 사람과 함께 사망한 채 발견됐다고 보도했다.
"고양시, 14일부터 코로나19 임시선별검사소 4개소 긴급 설치운영","고양=     <저작권자 ⓒ '성공을 꿈꾸는 사람들의 경제 뉴스'  , 무단전재 및 재배포 금지>"
"""사형→무기징역"", 안인득 항소심 감형 이유는?(상보)","지난해 4월 자신의 아파트에 불을 지른 후 대피하던 아파트 주민들에게 흉기를 휘둘러 5명을 숨지게 하고 17명을 다치게 한 안인득에게 항소심 재판부가 무기징역을 선고했다.	부산고법 창원재판부 형사1부는 24일 살인 및 현주건조물방화 등의 혐의로 재판에 넘겨진 안인득에 대한 항소심에서 범행 당시 심신미약 상태를 인정해 사형을 선고한 원심을 파기하고 무기징역을 선고했다.	 재판부는 ""안인득은 과거 2010년 범행으로 정신감정을 받아 조현병으로 판정받아 치료를 받아왔다.	 2017년 7월 이후 진료를 받지 않았다""며 ""대검 심리검사 결과 피해망상과 조현병 진단을 받았고 이것이 범행 동기로 보인다""라고 설명했다.	또 ""검사는 심신미약을 인정할 수 없다고 주장하지만 안인득의 경찰 조사 당시 진술과 태도, 임상심리, 정신감정 등을 종합해 판단해 보면 안인득은 범행 당시 조현병 장애를 갖고 있었고 심신미약 상태에 있었던 것으로 인정된다""고 말했다.	이어 ""법정형 중 사형을 선택하되 심신장애로 미약한 상태로 보여 형을 감경해서 사형 선택에 대한 감경은 무기징역형을 하도록 하고 있다""며 ""원심 판결을 파기하고 무기징역으로 처한다""고 덧붙였다.	안인득은 지난해 4월17일 새벽 경남 진주시 자신의 아파트에 불을 지른 후 대피하던 주민 5명을 흉기로 살해하고 17명을 다치게 한 혐의로 구속 기소됐다.	 안인득은 지난해 11월 국민참여재판으로 진행된 1심에서 법정 최고형인 사형을 선고 받았다.	검찰은 지난 4월22일 항소심 공판에서 ""안인득이 범행 대상을 미리 정하는 등 사전에 치밀하게 계획해 피해자들의 얼굴과 목, 가슴 등 급소를 찔려 살해했다""며 ""안인득을 사형에 처해 잔혹 범죄는 용서하지 않겠다는 의지를 보여야 한다""며 사형을 구형했다."
"이만희 친형 ""급성폐렴""으로 입원→대남병원서 사망","이만희 총회장의 친형이 급성폐렴으로 경북 청도 대남병원에 입원해 치료 중 숨진 것으로 나타났다.	 장례식에 참석한 신천지 교인은 대구교회의 지파장과 간부 40명, 부산교회 7명 등 47명 등인 것으로 전해졌다.	 보건당국은 당초 장례식에 신천지 교인 40여명 정도가 참석한 것으로 파악했다.	신천지 대구교회 측은 장례식장에 다녀온 신자 50명 중 일부가 신종 코로나 양성 판정을 받았다고 밝히기도 했다.	경찰은 보건당국와 청도군의 요청에 따라 장례식에 참석한 신천지 교인 확인에 나서고 있다.	청도군 관계자는 ""이 총회장의 친형은 급성폐렴으로 인해 대남병원에 입원했었다""며 ""장례식에는 신천지 교인 50여명 정도만 온 것으로 파악하고 있다""고 말했다.	또한 ""경찰에서 장례식에 참석한 신천지 교인들을 찾는데 주력하고 있는 것으로 알고 있다""며 ""보건당국에서도 조사를 하고 있으니 정확한 것은 지켜봐야 알 수 있을 것이다""고 덧붙였다."
"""을왕리 음주운전 벤츠"" 운전女·동승男, 그날 처음 만났다","만취 상태로 음주운전을 하다 치킨 배달을 하던 남성을 치어 숨지게 한 30대 여성이 동승자의 법인차량을 몰다 사고를 낸 것으로 확인됐다.14일 인천 중부경찰서에 따르면 특정범죄가중처벌법상 위험운전치사 혐의로 입건된 A씨가 사고 당시 몰았던 벤츠 승용차는 동승자 B씨의 회사 법인 차량이다.	앞서 A씨는 지난 9일 오전 0시55분쯤 만취 상태로 운전을 하다가 중앙선을 넘어 마주 오던 오토바이를 들이받았다.	이 사고로 치킨 배달 중이던 오토바이 운전자가 숨졌다.	사고 당시 A씨의 혈중알코올농도는 면허취소 수준을 넘는 0.1% 이상이었다.	A씨는 같은 날 B씨의 일행 술자리에 동석했다가 다툼이 일어나자 먼저 집에 가겠다고 자리에서 일어났고 B씨의 법인 벤츠 차량으로 운전을 했다.	동승자 B씨는 A씨를 데려다 주겠다며 뒤따라 온 것으로 알려졌다.	A씨와 B씨는 이날 처음 본 사이로 B씨의 지인과 A씨가 아는 사이인 것으로 전해졌다.	경찰 관계자는 ""A씨가 B씨의 차를 운전하게 된 경위 등은 추가로 조사 중""이라고 말했다."
"화성시, 신종코로나 확산 방지 총력 대응","화성=     <저작권자 ⓒ '성공을 꿈꾸는 사람들의 경제 뉴스'  , 무단전재 및 재배포 금지>"
군복 입고 음란 행위 사진 트위터에… 군사경찰 수사,현역 공군장병으로 추정되는 인물이 군복을 입고 동성 간 성행위를 하는 사진을 트위터에 올려 군사경찰이 수사에 나섰다.	공군은 21일 군사경찰이 트위터 음란 사진과 관련해 사실관계를 확인하고 있다고 밝혔다.	군사경찰은 음란 사진 배경이 군부대에서 찍은 것인지와 게시자 신분이 군인인지 등을 조사 중이다.	앞서 한 트위터 계정에는 군복을 입은 인물이 생활관에서 동성 간 성행위를 암시하는 사진을 다수 게시했다.	 이 계정은 팔로워가 5000여명에 달했으나 현재는 삭제된 상태다.	현역 군인이 동성 간 성행위를 했다면 군형법 92조6항에 의해 2년 이하의 징역형을 받는다.
"""지인 여동생 성폭행"" 단디, 7월3일 첫 공판","지인의 여동생을 성폭행한 혐의로 구속 기소된 프로듀서 단디가 재판을 받는다.	 11일 법조계에 따르면 서울동부지방법원 제11형사부는 오는 7월3일 단디의 성폭행 혐의 관련 첫 공판을 진행한다.	단디는 지난 4월 초 지인의 집을 방문, 지인과 지인의 여동생 A씨와 함께 새벽까지 술을 마셨다.	 그러다 두 여성이 각자의 방에서 잠들자 A씨의 방으로 들어갔고 잠든 A씨를 성폭행한 혐의를 받고 있다.	당초 단디는 경찰 조사에서 “성관계는 없었다”며 미수를 주장했으나 A씨의 신체에서 자신의 DNA가 검출되면서 혐의가 드러난 것으로 알려졌다.	 이후 서울동부지검은 9일 단디를 구속 상태에서 재판에 넘겼다."
‘시카고 심야폭동’ 유발자 기소… 법원 “보석금 100만달러”,"미국 시카고의 중심 번화가를 폐허로 만든 폭동을 유발한 20대 남성이 기소됐다.	시카고 관할인 쿡 카운티 검찰은 11일 시카고 남부에 거주하는 라트렐 앨런을 경찰 상대 살인 미수 혐의로 기소했다고 현지 언론이 보도했다.	 경찰에 따르면 지난 9일 낮 시카고 남부 잉글우드의 공원 인근에서 한 남성이 총을 들고 위협적인 행동을 한다는 신고가 들어왔다.	 문제의 행동을 한 인물은 앨런으로, 출동한 경찰에 총을 쏘며 들어났다.	 경찰은 대응 사격했고, 총에 맞아 쓰러진 앨런은 시카고대학 부속병원으로 옮겨져 치료를 받았다.	검찰은 “신고된 인물과 앨런의 인상착의가 일치했다”며 “경찰을 보고 달아나며 경찰을 향해 8차례 총을 발사했다”고 밝혔다.	법원은 앨런에게 보석금으로 100만달러를 책정했다.	 쿡 카운티 법원의 수재너 오티즈 판사는 “앨런이 어린이가 많은 주택가 공원에서 총알이 장전된 총을 소지하고 있었다”며 “매우 위험한 상황을 유발했다”고 높은 보석금 책정 이유를 설명했다.	소셜네트워크서비스에는 이 사건과 관련해 “경찰이 15세 소년을 총으로 쏴서 죽였다”고 퍼져나갔고, 다시 한 번 분노한 흑인들이 번화가에 모여들며 이내 폭동과 약탈로 번졌다.	지난 10일 자정 무렵부터 오전 4시30분쯤까지 이어진 폭동으로 미시간 애비뉴가 폐허 수준으로 파괴되고 도심 상가 곧곧이 피해를 입었다.	 미시간 애비뉴는 시카고 도심에 명품점 등 고급 상가가 밀집한 곳으로 ‘환상의 1마일’이라 불린다.	시카고 주재 한국 총영사관은 “한인 피해 사례는 아직 확인되지 않았다”고 밝혔다."
"연평도 인근 해수부 소속 선원 실종… ""北 해역서 발견 정황""","연평도 인근 해상에서 해양수산부 소속 어업지도선 선원 1명이 실종됐다.23일 국방부에 따르면 지난 21일 낮 12시51분쯤 소연평도 남방 1.2마일 해상에서 해양수산부 소속 어업지도선 선원 1명이 실종됐다는 신고가 해양경찰에 접수됐다.	 실종된 어업지도공무원 A씨는 목포 소재 서해어업지도관리단 소속 해양수산서기로 지난 9월21일 소연평도 인근 해상 어업지도선에서 어업지도 업무를 수행 중이었다.	 같은날 오전 11시30분 A씨가 보이지 않자 동승한 선원들은 어업지도선 자체 선내와 인근 해상을 수색했다.	 하지만 선상에서 신발만 발견되고 실종자는 발견하지 못해 해양경찰에 신고한 것으로 알려졌다.	이 같은 상황에서 우리 군 첩보에 의하면 지난 22일 오후 실종자가 북한 해역에서 발견된 정황이 포착됐다.	관계당국은 ""실종 경위, 경로 조사와 함께 북측에 관련 사실을 확인하는 등 필요한 조치를 취해 나갈 예정""이라고 말했다."
"자가격리시켰는데 ""이탈""… 부산서 2명 또 적발","부산시에서 자가격리지를 무단으로 이탈한 2명이 적발됐다.	 보건당국과 지자체가 28일 합동으로 불시 합동점검을 실시해 자가격리지를 무단 이탈한 해외입국자 1명과 확진자 접촉자 1명을 적발했다.	 부산시는 이날 2명을 감염병예방및관리에관한법률 위반 혐의로 고발할 예정이라고 밝혔다.	 해외입국자인 30대 A씨는 자가격리 10일째인 지난 23일 오후 외출했다가 불시점검반에 적발됐다.	확진자 접촉자인 50대 B씨는 자가격리기간인 지난 24일 오전 11시부터 2시간 넘게 외출했다.	 외출 중 앱을 통해 이탈이 확인됐다.	현재까지 부산에서 자가격리 장소를 이탈했다가 단속된 사람은 총 58명으로 이 중 해외입국자는 44명, 확진자 접촉자는 14명이다."
"군포시, 자가격리자 무단이탈 방지 강화","군포=     <저작권자 ⓒ '성공을 꿈꾸는 사람들의 경제 뉴스'  , 무단전재 및 재배포 금지>"
"이재명 ""이만희 또 위반하면 예전 일까지 묶어 고발할 것""","이재명 경기도지사는 이만희 신천지 총회장을 '시설 폐쇄 및 집회금지' 조치 위반으로 형사고발했다며 앞으로 한 번 더 위반할 경우 예전 일까지 묶어 한꺼번에 고발조치할 것이라고 경고했다.	이 지사는 8일 자신의 소셜네트워크서비스에 ""이만희 총회장 일행이 유지관리 목적으로 허가를 받은 경우 외 출입 이용을 금하는 경기도의 시설폐쇄명령을 위반하고 시설 출입을 한 사실을 확인해 형사고발 조치했다""고 밝혔다.	이어 ""한 번 더 위반하면 그 이전의 이만희 총회장의 방역협조 지연에 대한 형사 책임까지 묻겠다""고 강조했다.	이만희 총회장은 지난 5일 오전 10시30분쯤 경기도가 신종 코로나바이러스 감염증 확산방지를 위해 시설 폐쇄 및 집회금지 등의 조치가 내려진 경기 가평군 청평면 잠곡로 소재 신천지예수교 시설에 무단출입한 것으로 드러났다.	이에 경기도는 이만희 총회장 일행이 현장에 있는 사진과 동영상 등 증거자료와 함께 이들을 경찰에 고발했다."
"소용없는 윤창호법… 대낮 음주운전, 6세 아동 참변",대낮 음주운전 사고로 6세 아동이 사망하는 사건이 발생했다.12일 서울 서대문경찰서에 따르면 특정범죄 가중처벌 등에 관한 법률 위반과 도로교통법 위반 혐의로 50대 남성 A씨를 수사 중이다.	A씨는 지난 6일 오후 3시30분쯤 서울 서대문구에서 술을 마시고 승용차를 몰다 인도에 있는 가로등을 들이받았고 이 가로등이 쓰러지면서 6세 아이를 덮쳐 숨지게 한 혐의다.	당시 A씨의 혈중알코올농도는 면허 취소 수준이었다.	 경찰은 “수사에 속도를 내 서둘러 검찰로 송치할 예정”이라고 설명했다.
"""추미애 아들 군 의혹 제기"" 신원식 등 4명 고발… 경찰 수사 착수","추미애 법무부장관 아들의 군 특혜 의혹을 제기했던 신원식 국민의힘 의원과 군 관계자가 명예훼손을 이유로 고발당한 사건을 경찰이 수사한다.	 7일 경찰에 따르면 서울중앙지검은 해당 사건을 지난달 25일 서울 서초경찰서에 넘겼다.	지난달 17일 사법정의바로세우기시민행동은 허위사실 적시에 의한 명예훼손과 언론기관에 대한 업무방해 혐의 등으로 신 의원, 당직사병 현모씨, 이균철 경기도당 위원장, 이철원 전 주한미8군 한국군지원단장 등 4명을 고발했다.	 사세행은 같은날  회견에서 고발된 이들이 ""증거자료를 제대로 제시하지 않고  청탁과 외압이 있었다고 반복적으로 말해 악의적인 언론 보도의 빌미를 제공했다""며 ""주관적 억측과 과장 중심의 허위 주장으로 명예를 훼손했다""고 주장했다.	경찰은 고발 내용을 토대로 사건을 검토한 뒤 관계자들을 소환해 조사할 예정이다.	오는 13일 오후에 첫 고발인 조사가 진행된다."
"경찰, 서울 도심집회 금지통고 ""개최 시 엄정대응""(속보)","경찰, 서울 도심집회 금지통고 ""개최 시 엄정대응""      <저작권자 ⓒ '성공을 꿈꾸는 사람들의 경제 뉴스'  , 무단전재 및 재배포 금지>"
국회의사당에 폭발물 의심 여행가방… 특공대 출동 소란,국회의사당에 폭발물이 든 것으로 의심되는 여행가방이 발견돼 경찰이 출동했다.20일 오후 4시쯤 국회 공무직 노동자가 국회도서관 3문 앞에서 비닐에 싸인 여행가방을 발견해 상황실에 알렸다.	상황실은 현장 주변에 안전통제선을 설치하고 경찰과 소방에 신고했다.	 영등포소방서는 소방차 4대를 투입했고 영등포경찰서도 관련 인원이 출동했다.	경찰은 오후 5시40분쯤 경찰특공대 폭발물 처리 부서가 여행가방 내용물을 확인 중이라고 밝혔다.	정확한 내용물 분석 및 확보는 아직 이뤄지지 않았다.
